length,hue,sat,bright,sequence
0.02,180,26,7,1053
0.02,180,15,13,1054
0.02,189,23,12,1055
0.02,198,42,9,1056
0.02,202,52,8,1057
0.02,207,61,7,1058
0.02,207,52,8,1059
0.02,208,36,14,1060
0.02,212,33,18,1061
0.02,210,39,16,1062
0.02,210,36,17,1063
0.02,212,49,14,1064
0.02,213,47,17,1065
0.02,211,51,16,1066
0.02,213,43,20,1067
0.02,214,35,25,1068
0.02,211,40,22,1069
0.02,211,52,17,1070
0.02,211,53,17,1071
0.02,211,59,18,1072
0.02,211,36,29,1073
0.02,211,32,33,1074
0.02,211,34,31,1075
0.02,211,44,24,1076
0.02,211,63,17,1077
0.02,211,52,20,1078
0.02,211,49,20,1079
0.02,211,51,18,1080
0.02,211,52,17,1081
0.02,211,55,15,1082
0.02,211,51,16,1083
0.02,212,44,17,1084
0.02,212,42,16,1085
0.02,210,52,12,1086
0.02,212,45,13,1087
0.02,214,45,12,1088
0.02,214,39,14,1089
0.02,212,36,16,1090
0.02,212,37,16,1091
0.02,210,40,16,1092
0.02,210,41,15,1093
0.02,208,40,16,1094
0.02,207,38,18,1095
0.02,207,35,20,1096
0.02,207,32,22,1097
0.02,207,35,20,1098
0.02,207,36,20,1099
0.02,205,33,20,1100
0.02,205,34,20,1101
0.02,203,44,16,1102
0.02,203,42,17,1103
0.02,202,36,18,1104
0.02,200,28,21,1105
0.02,206,22,28,1106
0.02,207,26,27,1107
0.02,207,31,23,1108
0.02,207,38,19,1109
0.02,210,39,16,1110
0.02,210,41,15,1111
0.02,208,30,17,1112
0.02,208,30,17,1113
0.02,208,32,16,1114
0.02,212,35,15,1115
0.02,212,34,15,1116
0.02,207,33,13,1117
0.02,216,28,14,1118
0.02,212,29,18,1119
0.02,212,28,18,1120
0.02,212,39,13,1121
0.02,212,36,14,1122
0.02,224,29,15,1123
0.02,220,36,13,1124
0.02,212,38,13,1125
0.02,212,32,16,1126
0.02,223,47,12,1127
0.02,223,42,13,1128
0.02,220,47,13,1129
0.02,221,48,13,1130
0.02,221,39,16,1131
0.02,221,36,17,1132
0.02,221,44,14,1133
0.02,219,47,14,1134
0.02,218,42,18,1135
0.02,218,36,21,1136
0.02,218,44,17,1137
0.02,218,42,18,1138
0.02,217,38,18,1139
0.02,215,35,19,1140
0.02,215,35,19,1141
0.02,215,28,24,1142
0.02,215,25,26,1143
0.02,216,29,20,1144
0.02,216,39,15,1145
0.02,210,37,15,1146
0.02,208,56,11,1147
0.02,201,64,9,1148
0.02,208,57,9,1149
